Time,Source IP,Attack Type
Time,Source IP,Attack Type
Time,Source IP,Attack Type
Time,Source IP,Attack Type
1729183317.8574545,13.107.42.12,TCP-SYNACK PACKET
1729183337.911484,13.89.179.14,TCP-SYNACK PACKET
1729183432.4488258,13.89.179.14,TCP-SYNACK PACKET
